Codigo Cliente,Mensualidad,antiguedad_meses,ti_cod,megas_cod,municipio_cod,metodo_pago_cod,n_meses_activos,n_pagos_ok,n_moras_historicas,tasa_mora_historica,es_moroso,moras_ult_3_meses,moras_ult_6_meses,racha_limpia_final,dia_prom_pago_ult12,objetivo_mora_ultimo_mes
596,100.0,10.2497,0,0,4,0,10,10,0,0.0,0,0,0,10,14.0,0
597,100.0,24.2444,0,0,6,1,24,24,0,0.0,0,0,0,24,23.1818,0
598,80.0,5.2234,0,0,4,0,5,4,1,0.2,1,1,1,0,22.0,0
599,80.0,27.2339,0,0,4,0,27,26,1,0.037,1,1,1,0,15.1818,0
600,100.0,14.1919,0,0,4,1,14,14,0,0.0,0,0,0,14,19.3636,0
601,100.0,40.2102,0,0,0,0,40,40,0,0.0,0,0,0,40,24.7,0
602,100.0,70.2365,0,0,4,0,68,68,0,0.0,0,0,0,27,27.0,0
603,80.0,15.1774,0,0,4,0,14,14,0,0.0,0,0,0,0,22.1,0
604,100.0,70.2037,0,0,4,0,70,70,0,0.0,0,0,0,70,25.6364,0
605,100.0,56.2089,0,0,6,1,56,55,1,0.0179,1,1,1,0,26.5455,0
606,100.0,5.1905,0,0,4,0,5,5,0,0.0,0,0,0,5,24.0,0
607,100.0,8.2129,1,0,4,0,8,8,0,0.0,0,0,0,8,23.5,0
608,100.0,48.226,0,0,4,0,48,48,0,0.0,0,0,0,48,22.7273,0
609,100.0,55.4205,0,0,4,0,55,54,1,0.0182,1,1,1,0,16.8182,0
610,100.0,57.1945,0,0,4,0,57,56,1,0.0175,1,1,1,0,16.8182,0
611,100.0,49.1459,0,0,2,0,49,49,0,0.0,0,0,0,49,23.0,0
612,100.0,36.2352,0,0,3,0,36,36,0,0.0,0,0,0,36,26.7273,0
613,100.0,70.2037,0,0,4,1,70,70,0,0.0,0,0,0,70,22.6,0
614,100.0,9.1984,0,0,4,0,9,9,0,0.0,0,0,0,9,23.7778,0
615,100.0,18.1669,0,0,4,1,18,18,0,0.0,0,0,0,18,26.2727,0
616,100.0,60.2168,0,0,4,0,60,60,0,0.0,0,0,0,60,18.8182,0
617,100.0,66.0315,0,0,4,0,61,61,0,0.0,0,0,0,0,11.2727,0
618,100.0,4.1721,0,0,4,1,4,4,0,0.0,0,0,0,4,23.75,0
619,100.0,61.1367,0,0,4,0,61,61,0,0.0,0,0,0,61,24.1818,0
620,100.0,6.1761,0,0,4,0,6,6,0,0.0,0,0,0,6,24.0,0
621,100.0,21.1564,1,0,4,0,21,21,0,0.0,0,0,0,21,16.0,0
622,100.0,1.1827,1,0,4,0,1,1,0,0.0,0,0,0,1,10.0,0
623,80.0,1.1827,1,0,4,0,1,1,0,0.0,0,0,0,1,10.0,0
624,100.0,42.5427,0,0,4,0,40,39,1,0.025,1,1,1,0,11.0909,0
625,100.0,11.1695,0,0,3,0,11,11,0,0.0,0,0,0,11,24.4545,0
